model_id,model_label,model_type,feature_order,feature,human_name,feature_family,note
M4,Compact crop/weather RF,random_forest,3,current_dry_matter_g,Current dry matter,current dry matter state,Adds current fresh matter and a compact fresh-matter trend.
M4,Compact crop/weather RF,random_forest,4,current_fresh_matter_g,Current fresh matter,current fresh matter state,Adds current fresh matter and a compact fresh-matter trend.
M4,Compact crop/weather RF,random_forest,5,current_fruit_number,Current fruit count,fruit load,Adds current fresh matter and a compact fresh-matter trend.
M4,Compact crop/weather RF,random_forest,6,dry_matter_trend_g,Dry-matter trend since previous observation,dry matter trajectory,Adds current fresh matter and a compact fresh-matter trend.
M4,Compact crop/weather RF,random_forest,7,forecast_horizon_days,Forecast lead time,calendar / lead time,Adds current fresh matter and a compact fresh-matter trend.
M4,Compact crop/weather RF,random_forest,8,fresh_matter_trend_g,Fresh-matter trend since previous observation,fresh matter trajectory,Adds current fresh matter and a compact fresh-matter trend.
M4,Compact crop/weather RF,random_forest,9,fruit_number_trend,Fruit-count trend since previous observation,fruit load,Adds current fresh matter and a compact fresh-matter trend.
M4,Compact crop/weather RF,random_forest,10,gdd_base_10,Gdd base 10,weather / thermal time,Adds current fresh matter and a compact fresh-matter trend.
M4,Compact crop/weather RF,random_forest,11,mean_fruit_diameter_mm,Mean fruit diameter,fruit size sample,Adds current fresh matter and a compact fresh-matter trend.
M4,Compact crop/weather RF,random_forest,12,mean_individual_fruit_fresh_weight_g,Mean individual fruit weight,fruit size sample,Adds current fresh matter and a compact fresh-matter trend.
M4,Compact crop/weather RF,random_forest,13,nitrogen_treatment,Nitrogen treatment category,nitrogen treatment,Adds current fresh matter and a compact fresh-matter trend.
M4,Compact crop/weather RF,random_forest,14,origin_day_of_year,Forecast day of year,calendar / lead time,Adds current fresh matter and a compact fresh-matter trend.
M4,Compact crop/weather RF,random_forest,15,rhmean_7d,Rhmean 7d,weather / thermal time,Adds current fresh matter and a compact fresh-matter trend.
M4,Compact crop/weather RF,random_forest,16,sample_length_mm_median,Median sample fruit length,fruit size sample,Adds current fresh matter and a compact fresh-matter trend.
M4,Compact crop/weather RF,random_forest,17,solar_radiation_7d,Solar radiation 7d,weather / thermal time,Adds current fresh matter and a compact fresh-matter trend.
M4,Compact crop/weather RF,random_forest,18,tmean_7d,Tmean 7d,weather / thermal time,Adds current fresh matter and a compact fresh-matter trend.
M5,Compact crop/weather + tagged-fruit RF,random_forest,1,cumulative_gdd_base_10,Cumulative gdd base 10,weather / thermal time,Optional test: add compact tagged-fruit diameter/length context.
M5,Compact crop/weather + tagged-fruit RF,random_forest,2,cumulative_solar_radiation,Cumulative solar radiation,weather / thermal time,Optional test: add compact tagged-fruit diameter/length context.
M5,Compact crop/weather + tagged-fruit RF,random_forest,3,current_dry_matter_g,Current dry matter,current dry matter state,Optional test: add compact tagged-fruit diameter/length context.
M5,Compact crop/weather + tagged-fruit RF,random_forest,4,current_fresh_matter_g,Current fresh matter,current fresh matter state,Optional test: add compact tagged-fruit diameter/length context.
M5,Compact crop/weather + tagged-fruit RF,random_forest,5,current_fruit_number,Current fruit count,fruit load,Optional test: add compact tagged-fruit diameter/length context.
M5,Compact crop/weather + tagged-fruit RF,random_forest,6,dry_matter_trend_g,Dry-matter trend since previous observation,dry matter trajectory,Optional test: add compact tagged-fruit diameter/length context.
M5,Compact crop/weather + tagged-fruit RF,random_forest,7,forecast_horizon_days,Forecast lead time,calendar / lead time,Optional test: add compact tagged-fruit diameter/length context.
M5,Compact crop/weather + tagged-fruit RF,random_forest,8,fresh_matter_trend_g,Fresh-matter trend since previous observation,fresh matter trajectory,Optional test: add compact tagged-fruit diameter/length context.
M5,Compact crop/weather + tagged-fruit RF,random_forest,9,fruit_number_trend,Fruit-count trend since previous observation,fruit load,Optional test: add compact tagged-fruit diameter/length context.
M5,Compact crop/weather + tagged-fruit RF,random_forest,10,gdd_base_10,Gdd base 10,weather / thermal time,Optional test: add compact tagged-fruit diameter/length context.
M5,Compact crop/weather + tagged-fruit RF,random_forest,11,mean_fruit_diameter_mm,Mean fruit diameter,fruit size sample,Optional test: add compact tagged-fruit diameter/length context.
M5,Compact crop/weather + tagged-fruit RF,random_forest,12,mean_individual_fruit_fresh_weight_g,Mean individual fruit weight,fruit size sample,Optional test: add compact tagged-fruit diameter/length context.
M5,Compact crop/weather + tagged-fruit RF,random_forest,13,nitrogen_treatment,Nitrogen treatment category,nitrogen treatment,Optional test: add compact tagged-fruit diameter/length context.
M5,Compact crop/weather + tagged-fruit RF,random_forest,14,origin_day_of_year,Forecast day of year,calendar / lead time,Optional test: add compact tagged-fruit diameter/length context.
M5,Compact crop/weather + tagged-fruit RF,random_forest,15,rhmean_7d,Rhmean 7d,weather / thermal time,Optional test: add compact tagged-fruit diameter/length context.
M5,Compact crop/weather + tagged-fruit RF,random_forest,16,sample_length_mm_median,Median sample fruit length,fruit size sample,Optional test: add compact tagged-fruit diameter/length context.
M5,Compact crop/weather + tagged-fruit RF,random_forest,17,solar_radiation_7d,Solar radiation 7d,weather / thermal time,Optional test: add compact tagged-fruit diameter/length context.
M5,Compact crop/weather + tagged-fruit RF,random_forest,18,tagged_fruit_diameter_current_mm,Tagged-fruit diameter,tagged fruit development,Optional test: add compact tagged-fruit diameter/length context.
M5,Compact crop/weather + tagged-fruit RF,random_forest,19,tagged_fruit_diameter_trend_mm,Tagged-fruit diameter trend,tagged fruit development,Optional test: add compact tagged-fruit diameter/length context.
M5,Compact crop/weather + tagged-fruit RF,random_forest,20,tagged_fruit_length_current_mm,Tagged-fruit length,tagged fruit development,Optional test: add compact tagged-fruit diameter/length context.
M5,Compact crop/weather + tagged-fruit RF,random_forest,21,tagged_fruit_length_trend_mm,Tagged-fruit length trend,tagged fruit development,Optional test: add compact tagged-fruit diameter/length context.
M5,Compact crop/weather + tagged-fruit RF,random_forest,22,tagged_fruit_n_observed,Tagged fruits observed,tagged fruit development,Optional test: add compact tagged-fruit diameter/length context.
M5,Compact crop/weather + tagged-fruit RF,random_forest,23,tmean_7d,Tmean 7d,weather / thermal time,Optional test: add compact tagged-fruit diameter/length context.
M6,Full raw RF reference,random_forest_reference,1,change_dry_matter_g,Dry-matter change since previous observation,dry matter trajectory,Reference only: broader raw set without treatment_n_level or tagged layer; may contain redundant lags.
M6,Full raw RF reference,random_forest_reference,2,change_fresh_matter_g,Fresh-matter change since previous observation,fresh matter trajectory,Reference only: broader raw set without treatment_n_level or tagged layer; may contain redundant lags.
M6,Full raw RF reference,random_forest_reference,3,change_fruit_number,Fruit-count change since previous observation,fruit load,Reference only: broader raw set without treatment_n_level or tagged layer; may contain redundant lags.
M6,Full raw RF reference,random_forest_reference,4,cumulative_gdd_base_10,Cumulative gdd base 10,weather / thermal time,Reference only: broader raw set without treatment_n_level or tagged layer; may contain redundant lags.
M6,Full raw RF reference,random_forest_reference,5,cumulative_solar_radiation,Cumulative solar radiation,weather / thermal time,Reference only: broader raw set without treatment_n_level or tagged layer; may contain redundant lags.
M6,Full raw RF reference,random_forest_reference,6,current_dry_matter_g,Current dry matter,current dry matter state,Reference only: broader raw set without treatment_n_level or tagged layer; may contain redundant lags.
M6,Full raw RF reference,random_forest_reference,7,current_fresh_matter_g,Current fresh matter,current fresh matter state,Reference only: broader raw set without treatment_n_level or tagged layer; may contain redundant lags.
M6,Full raw RF reference,random_forest_reference,8,current_fruit_number,Current fruit count,fruit load,Reference only: broader raw set without treatment_n_level or tagged layer; may contain redundant lags.
M6,Full raw RF reference,random_forest_reference,9,day_of_year,Day of year,calendar / lead time,Reference only: broader raw set without treatment_n_level or tagged layer; may contain redundant lags.
M6,Full raw RF reference,random_forest_reference,10,days_since_previous_observation,Days since previous observation,other,Reference only: broader raw set without treatment_n_level or tagged layer; may contain redundant lags.
M6,Full raw RF reference,random_forest_reference,11,days_since_weather_start,Days since weather start,other,Reference only: broader raw set without treatment_n_level or tagged layer; may contain redundant lags.
M6,Full raw RF reference,random_forest_reference,12,forecast_horizon_days,Forecast lead time,calendar / lead time,Reference only: broader raw set without treatment_n_level or tagged layer; may contain redundant lags.
M6,Full raw RF reference,random_forest_reference,13,forecast_task,Forecast task,other,Reference only: broader raw set without treatment_n_level or tagged layer; may contain redundant lags.
M6,Full raw RF reference,random_forest_reference,14,gdd_base_10,Gdd base 10,weather / thermal time,Reference only: broader raw set without treatment_n_level or tagged layer; may contain redundant lags.
M6,Full raw RF reference,random_forest_reference,15,mean_fruit_diameter_mm,Mean fruit diameter,fruit size sample,Reference only: broader raw set without treatment_n_level or tagged layer; may contain redundant lags.
M6,Full raw RF reference,random_forest_reference,16,mean_fruit_length_mm,Mean fruit length,fruit size sample,Reference only: broader raw set without treatment_n_level or tagged layer; may contain redundant lags.
M6,Full raw RF reference,random_forest_reference,17,mean_individual_fruit_fresh_weight_g,Mean individual fruit weight,fruit size sample,Reference only: broader raw set without treatment_n_level or tagged layer; may contain redundant lags.
M6,Full raw RF reference,random_forest_reference,18,mean_tagged_fruit_diameter_mm,Mean tagged fruit diameter mm,fruit size sample,Reference only: broader raw set without treatment_n_level or tagged layer; may contain redundant lags.
M6,Full raw RF reference,random_forest_reference,19,mean_tagged_fruit_length_mm,Mean tagged fruit length mm,fruit size sample,Reference only: broader raw set without treatment_n_level or tagged layer; may contain redundant lags.
M6,Full raw RF reference,random_forest_reference,20,n_fruit_size_samples,Number of fruit-size samples,fruit size sample,Reference only: broader raw set without treatment_n_level or tagged layer; may contain redundant lags.
M6,Full raw RF reference,random_forest_reference,21,n_tagged_fruit_diameter_mm_observations,N tagged fruit diameter mm observations,fruit size sample,Reference only: broader raw set without treatment_n_level or tagged layer; may contain redundant lags.
M6,Full raw RF reference,random_forest_reference,22,n_tagged_fruit_length_mm_observations,N tagged fruit length mm observations,fruit size sample,Reference only: broader raw set without treatment_n_level or tagged layer; may contain redundant lags.
M6,Full raw RF reference,random_forest_reference,23,nitrogen_treatment,Nitrogen treatment category,nitrogen treatment,Reference only: broader raw set without treatment_n_level or tagged layer; may contain redundant lags.
M6,Full raw RF reference,random_forest_reference,24,origin_day_of_year,Forecast day of year,calendar / lead time,Reference only: broader raw set without treatment_n_level or tagged layer; may contain redundant lags.
M6,Full raw RF reference,random_forest_reference,25,origin_month,Forecast month,calendar / lead time,Reference only: broader raw set without treatment_n_level or tagged layer; may contain redundant lags.
M6,Full raw RF reference,random_forest_reference,26,origin_week_of_year,Forecast week of year,calendar / lead time,Reference only: broader raw set without treatment_n_level or tagged layer; may contain redundant lags.
M6,Full raw RF reference,random_forest_reference,27,previous_dry_matter_g,Previous dry matter,dry matter trajectory,Reference only: broader raw set without treatment_n_level or tagged layer; may contain redundant lags.
M6,Full raw RF reference,random_forest_reference,28,previous_fresh_matter_g,Previous fresh matter,fresh matter trajectory,Reference only: broader raw set without treatment_n_level or tagged layer; may contain redundant lags.
M6,Full raw RF reference,random_forest_reference,29,previous_fruit_number,Previous fruit count,fruit load,Reference only: broader raw set without treatment_n_level or tagged layer; may contain redundant lags.
M6,Full raw RF reference,random_forest_reference,30,rhmean_7d,Rhmean 7d,weather / thermal time,Reference only: broader raw set without treatment_n_level or tagged layer; may contain redundant lags.
M6,Full raw RF reference,random_forest_reference,31,rhmean_pct,Rhmean pct,weather / thermal time,Reference only: broader raw set without treatment_n_level or tagged layer; may contain redundant lags.
M6,Full raw RF reference,random_forest_reference,32,rolling_mean_2_dry_matter_g,2-observation dry-matter average,dry matter trajectory,Reference only: broader raw set without treatment_n_level or tagged layer; may contain redundant lags.
M6,Full raw RF reference,random_forest_reference,33,rolling_mean_2_fresh_matter_g,2-observation fresh-matter average,fresh matter trajectory,Reference only: broader raw set without treatment_n_level or tagged layer; may contain redundant lags.
M6,Full raw RF reference,random_forest_reference,34,rolling_mean_2_fruit_number,2-observation fruit-count average,fruit load,Reference only: broader raw set without treatment_n_level or tagged layer; may contain redundant lags.
M6,Full raw RF reference,random_forest_reference,35,rolling_mean_3_dry_matter_g,3-observation dry-matter average,dry matter trajectory,Reference only: broader raw set without treatment_n_level or tagged layer; may contain redundant lags.
M6,Full raw RF reference,random_forest_reference,36,rolling_mean_3_fresh_matter_g,3-observation fresh-matter average,fresh matter trajectory,Reference only: broader raw set without treatment_n_level or tagged layer; may contain redundant lags.
M6,Full raw RF reference,random_forest_reference,37,rolling_mean_3_fruit_number,3-observation fruit-count average,fruit load,Reference only: broader raw set without treatment_n_level or tagged layer; may contain redundant lags.
M6,Full raw RF reference,random_forest_reference,38,sample_condition_code_max,Sample condition code max,other,Reference only: broader raw set without treatment_n_level or tagged layer; may contain redundant lags.
M6,Full raw RF reference,random_forest_reference,39,sample_condition_code_mean,Sample condition code mean,other,Reference only: broader raw set without treatment_n_level or tagged layer; may contain redundant lags.
M6,Full raw RF reference,random_forest_reference,40,sample_condition_code_median,Sample condition code median,other,Reference only: broader raw set without treatment_n_level or tagged layer; may contain redundant lags.
M6,Full raw RF reference,random_forest_reference,41,sample_condition_code_min,Sample condition code min,other,Reference only: broader raw set without treatment_n_level or tagged layer; may contain redundant lags.
M6,Full raw RF reference,random_forest_reference,42,sample_condition_code_n_non_missing,Sample condition code n non missing,other,Reference only: broader raw set without treatment_n_level or tagged layer; may contain redundant lags.
M6,Full raw RF reference,random_forest_reference,43,sample_condition_code_n_records,Sample condition code n records,other,Reference only: broader raw set without treatment_n_level or tagged layer; may contain redundant lags.
M6,Full raw RF reference,random_forest_reference,44,sample_condition_code_p10,Sample condition code p10,other,Reference only: broader raw set without treatment_n_level or tagged layer; may contain redundant lags.
M6,Full raw RF reference,random_forest_reference,45,sample_condition_code_p90,Sample condition code p90,other,Reference only: broader raw set without treatment_n_level or tagged layer; may contain redundant lags.
M6,Full raw RF reference,random_forest_reference,46,sample_condition_code_std,Sample condition code std,other,Reference only: broader raw set without treatment_n_level or tagged layer; may contain redundant lags.
M6,Full raw RF reference,random_forest_reference,47,sample_diameter_mm_max,Sample diameter mm max,fruit size sample,Reference only: broader raw set without treatment_n_level or tagged layer; may contain redundant lags.
M6,Full raw RF reference,random_forest_reference,48,sample_diameter_mm_mean,Mean sample fruit diameter,fruit size sample,Reference only: broader raw set without treatment_n_level or tagged layer; may contain redundant lags.
M6,Full raw RF reference,random_forest_reference,49,sample_diameter_mm_median,Median sample fruit diameter,fruit size sample,Reference only: broader raw set without treatment_n_level or tagged layer; may contain redundant lags.
M6,Full raw RF reference,random_forest_reference,50,sample_diameter_mm_min,Sample diameter mm min,fruit size sample,Reference only: broader raw set without treatment_n_level or tagged layer; may contain redundant lags.
M6,Full raw RF reference,random_forest_reference,51,sample_diameter_mm_n_non_missing,Sample diameter mm n non missing,fruit size sample,Reference only: broader raw set without treatment_n_level or tagged layer; may contain redundant lags.
M6,Full raw RF reference,random_forest_reference,52,sample_diameter_mm_n_records,Sample diameter mm n records,fruit size sample,Reference only: broader raw set without treatment_n_level or tagged layer; may contain redundant lags.
M6,Full raw RF reference,random_forest_reference,53,sample_diameter_mm_p10,Sample diameter mm p10,fruit size sample,Reference only: broader raw set without treatment_n_level or tagged layer; may contain redundant lags.
M6,Full raw RF reference,random_forest_reference,54,sample_diameter_mm_p90,Sample diameter mm p90,fruit size sample,Reference only: broader raw set without treatment_n_level or tagged layer; may contain redundant lags.
M6,Full raw RF reference,random_forest_reference,55,sample_diameter_mm_std,Sample diameter mm std,fruit size sample,Reference only: broader raw set without treatment_n_level or tagged layer; may contain redundant lags.
M6,Full raw RF reference,random_forest_reference,56,sample_individual_fruit_fresh_weight_g_max,Sample individual fruit fresh weight g max,fruit size sample,Reference only: broader raw set without treatment_n_level or tagged layer; may contain redundant lags.
M6,Full raw RF reference,random_forest_reference,57,sample_individual_fruit_fresh_weight_g_mean,Mean sample individual fruit weight,fruit size sample,Reference only: broader raw set without treatment_n_level or tagged layer; may contain redundant lags.
M6,Full raw RF reference,random_forest_reference,58,sample_individual_fruit_fresh_weight_g_median,Median sample individual fruit weight,fruit size sample,Reference only: broader raw set without treatment_n_level or tagged layer; may contain redundant lags.
M6,Full raw RF reference,random_forest_reference,59,sample_individual_fruit_fresh_weight_g_min,Sample individual fruit fresh weight g min,fruit size sample,Reference only: broader raw set without treatment_n_level or tagged layer; may contain redundant lags.
M6,Full raw RF reference,random_forest_reference,60,sample_individual_fruit_fresh_weight_g_n_non_missing,Sample individual fruit fresh weight g n non missing,fruit size sample,Reference only: broader raw set without treatment_n_level or tagged layer; may contain redundant lags.
M6,Full raw RF reference,random_forest_reference,61,sample_individual_fruit_fresh_weight_g_n_records,Sample individual fruit fresh weight g n records,fruit size sample,Reference only: broader raw set without treatment_n_level or tagged layer; may contain redundant lags.
M6,Full raw RF reference,random_forest_reference,62,sample_individual_fruit_fresh_weight_g_p10,Sample individual fruit fresh weight g p10,fruit size sample,Reference only: broader raw set without treatment_n_level or tagged layer; may contain redundant lags.
M6,Full raw RF reference,random_forest_reference,63,sample_individual_fruit_fresh_weight_g_p90,Sample individual fruit fresh weight g p90,fruit size sample,Reference only: broader raw set without treatment_n_level or tagged layer; may contain redundant lags.
M6,Full raw RF reference,random_forest_reference,64,sample_individual_fruit_fresh_weight_g_std,Sample individual fruit fresh weight g std,fruit size sample,Reference only: broader raw set without treatment_n_level or tagged layer; may contain redundant lags.
M6,Full raw RF reference,random_forest_reference,65,sample_length_mm_max,Sample length mm max,fruit size sample,Reference only: broader raw set without treatment_n_level or tagged layer; may contain redundant lags.
M6,Full raw RF reference,random_forest_reference,66,sample_length_mm_mean,Mean sample fruit length,fruit size sample,Reference only: broader raw set without treatment_n_level or tagged layer; may contain redundant lags.
M6,Full raw RF reference,random_forest_reference,67,sample_length_mm_median,Median sample fruit length,fruit size sample,Reference only: broader raw set without treatment_n_level or tagged layer; may contain redundant lags.
M6,Full raw RF reference,random_forest_reference,68,sample_length_mm_min,Sample length mm min,fruit size sample,Reference only: broader raw set without treatment_n_level or tagged layer; may contain redundant lags.
M6,Full raw RF reference,random_forest_reference,69,sample_length_mm_n_non_missing,Sample length mm n non missing,fruit size sample,Reference only: broader raw set without treatment_n_level or tagged layer; may contain redundant lags.
M6,Full raw RF reference,random_forest_reference,70,sample_length_mm_n_records,Sample length mm n records,fruit size sample,Reference only: broader raw set without treatment_n_level or tagged layer; may contain redundant lags.
M6,Full raw RF reference,random_forest_reference,71,sample_length_mm_p10,Sample length mm p10,fruit size sample,Reference only: broader raw set without treatment_n_level or tagged layer; may contain redundant lags.
M6,Full raw RF reference,random_forest_reference,72,sample_length_mm_p90,Sample length mm p90,fruit size sample,Reference only: broader raw set without treatment_n_level or tagged layer; may contain redundant lags.
M6,Full raw RF reference,random_forest_reference,73,sample_length_mm_std,Sample length mm std,fruit size sample,Reference only: broader raw set without treatment_n_level or tagged layer; may contain redundant lags.
M6,Full raw RF reference,random_forest_reference,74,script07_n_fruit_size_samples,Script07 n fruit size samples,fruit size sample,Reference only: broader raw set without treatment_n_level or tagged layer; may contain redundant lags.
M6,Full raw RF reference,random_forest_reference,75,solar_radiation,Solar radiation,weather / thermal time,Reference only: broader raw set without treatment_n_level or tagged layer; may contain redundant lags.
M6,Full raw RF reference,random_forest_reference,76,solar_radiation_7d,Solar radiation 7d,weather / thermal time,Reference only: broader raw set without treatment_n_level or tagged layer; may contain redundant lags.
M6,Full raw RF reference,random_forest_reference,77,tmax_c,Tmax c,weather / thermal time,Reference only: broader raw set without treatment_n_level or tagged layer; may contain redundant lags.
M6,Full raw RF reference,random_forest_reference,78,tmean_7d,Tmean 7d,weather / thermal time,Reference only: broader raw set without treatment_n_level or tagged layer; may contain redundant lags.
M6,Full raw RF reference,random_forest_reference,79,tmean_c,Tmean c,weather / thermal time,Reference only: broader raw set without treatment_n_level or tagged layer; may contain redundant lags.
M6,Full raw RF reference,random_forest_reference,80,tmin_c,Tmin c,weather / thermal time,Reference only: broader raw set without treatment_n_level or tagged layer; may contain redundant lags.
